content,score
"iklan yg lu buat ituloh ganggu saja, lagi Mabar sama teman malah iklan nya maksa alias ga pencet iklannya malah langsung dimasukin ke web / apk grab nya, otomatis keluar dari game dan force close, iklan nya ganggu anj, kalo ga ganggu tak kasih bintang 5 nih, lain kali kalo bikin iklan jangan maksa, bikin repot orang lain saja.....",1
"cuman bisa empat bintang, untuk pelayanan sudah bagus harga murah tapi menurut ku sistem pergantian pembayaran nya mungkin bisa lebih ditampilkan terkadang banyak orang yang suka ganti menu buat cek harga ternyata metode pembayaran juga berubah mungkin bisa diisi dengan peringatan sebelum membeli supaya tidak kelupaan kalau metode pembayaran sudah pas",3
"OVO nya tidak bisa di aktivasi, padahal sebelum nya bisa. Ketika sudah pencet aktivasi, tulisan nya sudah berhasil. Tapi setelah itu suruh aktivasi lagi. Tolong segera diperbaiki",5
sangat tidak sesuai harga antar sama pelayanan masa saya sudah bayar lebih mahal untuk pesanan antar makanan tapi digabung pengiriman sama yang lain itu juga butuh waktu hampir 1 jam msh dipengiriman pertama dan ke tempat saya msh butuh waktu 25 menit pesanan minuman dingin lagi apakah itu jadinya,1
ya elah dari tadi mau ganti nomor telfon di profil saya ko malah engga bisa udah berkali² ganti jaringan tetep aja engga bisa tolong lah pihak GRAB tolong di perbaiki lagi aplikasi nya masih banyak kekurangan. saya udah lama loh pake grab tapi kendala saat ini mau ganti nomor aja ga bisa dan ada notif harus ganti jaringan 🙏🙏,1
"Banyak yg mengeluh tentang vertifikasi muka buat pemesanan,,padahal sya sebagai driver lebih mending gitu ketimbang tidak vertifikasi muka. karna banyak banget orderan fiktip yg jahil buat order seenaknya...trima kasih",5
saya pesan grab standar ehh driver nya minta biaya grab xl... driver nya minta biaya tambahan nya pas saya sudah mulai perjalanan..sebener nya gemes pengen kasih bintang 1 dan pengen lapor grab cs tapi gada bukti foto/rekaman nya..,3
"pelayanan sangat noll, pengantaran di tunda"", lalu di batal kan. menunggu 3 jam, lalu di batalkan. saya harap aplikasi ini tidak seenak nya membatalkan pesanan dari costumer.",1
agak kecewa karna jarak sama lokasi jemput sama lokasi pengantaran juga saam dan di hari dan jam yg sama tapi beda tarif sampek 5k. tolong dong untuk di perbaharui. apa ada kendala sama akun ? atau memang gimana ? karna kan katanya perhitungan tarif itu menurut jarak. nah ini kok bisa berbeda . terimakasih,2
"akhir2 ini kacau banget, selalu terlambat dari estimasi awal, 20 menit sendiri...dan selalu begitu, padahal promo2 nya udah keren, tapi kalau gofood astaga udah kelaparan malah waktu terlambat terus",3
"ada beberapa toko yng udh pada tutup tpi masih aktif di grab, alhasil kita order jadi lama bngt gk di konfirmasi sma toko, di cancel gak bisa, baru bisa cancel otomatis 1 jam, itu sngat mengecewakn",1
"jujur, kecewa. untuk pengajuan komplain melalui cs grab ini sangat sangat membingungkan. via email, malah ga ke send gegara mailnya not avail. melalui apps sendiri juga sama aja. aku ada kendala untuk penilaian mitra grab. sebelumnya aku ada pengiriman paket, di shopee dengan pengiriman instan, dapet kurirnya ini dari Grab. Dan ada human eroring dari kurir, barang yang aku terima berkurang. aku chat toko sudah sesuai sebelum pengiriman, jadi masalah di kurir dong. mau rating kurir gimana?",2
"mama saya rugi ratusan ribu karena popup iklan&promo dalam aplikasi grab, niatnya memang bagus popup iklan untuk mengingatkan ada promo, tapi karena menghalangi layar kadang tidak sengaja langsung menekan tombol order, padahal sebelum order ingin memakai diskon dari grab👎",1
"kenapa sih akhir2 ini banyak bug alamat yang biasanya dipake tiba2 berubah sendiri jadi tiap mesan mesti atur manual biar ga salah lagi.. kasian driver nya udah jauh jauh tapi tersesat, terus mau milih metode pembayaran/edit pesanan malah kepencet sendiri pesan langsung hadeh KENAPA KALO LAPOR KE PUSAT BANTUAN MALAH PAKE AI??? MANA STAFF NYA",1
"tolong dong buat pengemudi yang sekiranya ga nerima customer di off dlu akunnya, ini pesan grab sampe nunggu 45 menit ga ada yang datang padahall di map ada grab yang terdekat sedang aktif, kaya gini bikin orang nunggu juga klo ga ada sama sekali ga masalah ini ada lho tpi ga di klik pesanannya",1
"Kejadian yang merugikan user, aplikasi terbuka saat bekendara (grab bike) malah ada order ga sengaja, untung bukan barang mahal bagaimana kalau barang mahal yg terbeli. Tolong sistem grab diperbaiki, sangat amat tidak user friendly.",1
"Untuk sampai saat ini, kualitas dari pengemudi dan aplikasi sangat baik. Pertahankan, dan saya mengharapkan peningkatan 👍👍👌. Sejauh ini juga grab telah memberikan kemudahan dalam bertransaksi dengan adanya ovo paylater, hanya saja seandainya ini bisa buat pembelian pulsa atau bayar tagihan mingkin akan lebih bermanfaat lagi, bukan hany tentang perjalanan dan makanan saja!",5
"kenapa kadang suka dapat driver yg jauh ya? pernah pesen, malah dapat yang agak jauh dari rumah, padahal biasanya dapat yg dekat2. Tolong ini mah, walaupun udah pagi-pagi pesennya jadi suka telat gara-gara drivernya kejauhan :)",3
kenapa tidak bisa batalkan pesanan? padahal salah klik karena lag tiba-tiba terpesan sendiri tidak bisa ubah mode hemat dan pesanannya. seharusnya ada jeda waktu 1 menit untuk batalkan pesanan karena salah klik,1
"hapuskan biaya pemesanan, biaya kemasan, jadi terlalu mahal banget, udh biaya d aplikasi sama d restoran langsung sudah beda, malah d tambah lg ada biaya pemesanan, biaya kemasan hadehh",3
"buat vocernya gimana sih???, saya baru jadi penggunaan baru lohhh fiturnya engga bisa di pake bikin emosi lagi, juga lokasinya juga engga bener, padahal udah nyalain fitur lokasi dari HP, lokasinya juga beda, engga jelas banget lokasi saya di mana tempat tujuan di mana beda banget kaya maksudnya gimana sih????, tolong lah di perbaiki bener bener kaya gini malah bikin kecewa pengguna, bukanya nenangin perut malah bikin naik darah",1
"menu kebanyakan,d cancel gak bisa,,pusat bantuan di coba gak ada titik keluar,,,alhasil ttp bayar semua nya,,,,,gak mikir apa gmn ya,itu konsumen benran ada duit ato gaþk,,klo pas ada sih ok,klo gak ada...????",1
"Saya penasaran perihal sistem/logaritma untuk perkiraan ongkos atau pembiayaan ketika saya berkendara dengan jarak 5km dikenai harga 9000 sedangkan dengan jarak 7km dikenai harga 22000, bagaimana dengan hal tersebut? Apakah tidak berpatokan dengan jarak tempuh? Bukankah akan logis jika disesuaikan pembiayaan sesuai dengan jarak tempuh. saya harap direspon terima kasih.",3
lama gak pakai aplikasi grab karena kerja di luar pulau... pas cuti... mau pesan kendaraan di grab... akun ditangguhkan karena aktivitas yang tidak wajar... kaan aneh ya... saya turunin jadi dua bintang...,2
"Saya pesan grab Food, tapi pesanannya tidak saya terima. driver menitipkan ke security tanpa menghubungi saya. saya cek ke security, tdk ada. karena memang security tdk boleh menerima penitipan makanan. saya lapor lewat bantuan di app grab namun tdk ada respon. benar2 merugikan customer.",1
"Yang terhormat para developer aplikasi Grab, buat fitur di aplikasi nya, jika pengemudi tidak mau ambil pesanan pada saat gerimis/hujan kecil(Bukan hujan deras), maka kurangilah point rating driver tersebut!!!",1
"saat buru2 mau pergi, pesan grab car, tiba2 suruh verifikasi wajah segala, padahal kamera saya lagi rusak. sangat menjengkelkan.. sebelum2nya gak begitu, kemana2 naik grab. gara2 itu saya terpaksa pakai aplikasi lain.. good bye grab.. krn butuh bantuan pun ribet, membingungkan caranya.. adakah cara lain selain selfie ? pusat bantuan yg mudah bagaimana caranya selain hrs nelpon ke grab jakarta ? krn saya tinggal di Makassar.",2
Tolong aplikasi grab diperbaiki dari vitur maps pengiriman. saya menggunakan alamat dan titik yang sama di aplikasi lain. tetapi hanya grab yang menunjuk ke arah jalan buntu. mana drivernya malah nyalahin saya. jelas aplikasinya yang gajelas. nunjukin arah jalan mapsnya ke jalan buntu. padahal aplikasi lain yg sama ga begitu,1
"performa pengaturan waktu pengantaran melebih estimasi, beda sama yg ijo sebelah, lebih sesuai estimasi bahkan selalu prioritas walau paket hemat tapi tetap jauh lebih cepat",1
"kalau driver udah ada orderan gofood, jangan sampai ada orderan lain masuk, saya nunggu 2jam lebih mana ga bisa di cancel, pesenan saya jadi dingin, sekali dua kali it's okey, tapi ini berkali-kali.",2
"tolong infokan ke driver²nya... kalau ga niat nganter mah cancel aja dari awal, soalnya saya udah nunggu lama, udah telat tapi pas udah dekat malah di cancel, saya telattttt...... saya telat.... udah berulang kali saya diginiin, tolong cancel aja biar segera dicari pengemudi lain, saya baya full bukan grab hemat",2
min kalo saya pesan grab meskipun ga semua tapi sebagian ada yang kek gini.minta tolong dong driver nya kayak males liat map padahal lokasi dari saya masih agak jauh dari map. nanti alasan driver nya sudah sesuai map nanti driver nya ada yang ga mood juga ngomel-ngomel terus kalo misalnya ada polisi tidur sengaja di banterin kebetulan saya orang nya ga enakan sudah saya tegur baik-baik pak minta tolong hati-hati malah pura-pura ga denger .minta tolong 🙏☹️,4
"Aplikasi sudah bagus, cuma kalau bisa ada pilihan driver aman dalam mengemudi, karena pengalaman dalam beberapa kali naik grabcar ada yang mobil nya laju kencang, kan itu membahayakan penumpang, soalnya yang dibawa kan orang, penumpang juga punya hak untuk selamat sampai tujuan, Terima kasih grab, semoga masukannya bisa di dengar.",5
"Tolong kode voucher untuk GrabFood kalau udah berhasil terpasang jangan dihilangin tiba-tiba pas lagi checkout, memang perhari ada batas kuota, tapi kalau udah terpasang jangan tiba-tiba dihilangkan dong(kecuali batas waktu yang tertera di vouchernya memang habis, itu bisa dipahami), dilock atau apa kek kalau udah dipasang jadi gak bisa diambil pengguna lain, kalau udah dipasang dan disesuaikan sama isi saldo terus tiba-tiba gak bisa dipakai kan kayak dikasih harapan palsu, gak jadi makan juga🥲",3
Aplikasi grab semakin tahun semakin mengecewakan dan lemot jadi membuat kerjaan saya hancur saja dan saya sering telat payyaaahhhh tutup aja aplikasi grabnya!!!!!!,1
"Aplikasi tidak jelas tiba² di buka hilang tidak bisa buat lihat apapun, sudah di restart juga masih tetap saja. ke negara mana terus terusan isinya",2
"pesen grabfood lebih lama dibanding gofood. aku bandingin grabfood bisa 2 jam lebih, order jam 8 pagi jam 10 pagi baru selesai.. sedangkan gofood paling lama aja 30 menit.. grab car juga udah pesen yang standar tapi ac tidak dinyalakan.. terakhir kali dapat driver yang melempar makanan.. Tolong perbaiki dan audit lagi ini jangan sampai customer pindah ke yang lain..",3
"Tolong dong hapus fitur split driver (untuk GrabFood). Bikin ribet, karena jadinya pesenan ga nyampe sekaligus. Customers udah pilih prioritas dengan ongkir mahal, tapi dapet driver di split yang otomatis kita ngasih buat parkir juga double. Yang lebih parah lagi dapet cerita dari driver kalo orderan yang masuk ke mereka itu bukan prioritas, jadi mereka juga nerima double order dari customer lain dan nerima ongkos cuma 25% dari yang kita bayarkan.",1
"Kalau kita batalkan pesanan yang menggunakan payment debit, saldo nya ga langsung balik (real time) begitu saja, di tahan dlu sama pihak grab nya, estimasi bisa sampe 30 hari paling lambat tergantung dengan kebijakan bank masing², beda sama yang sebelah misal melakukan cancel orderan, saldo yang di gunakan langsung balik ke rekening bank. asu lah",1
"Kalau ngomongin transportasi online, buat saya GrabCar itu udah kayak teman setia di setiap perjalanan. Dari awal saya coba sampai sekarang, pelayanannya nggak pernah bikin kecewa. Mulai dari buka aplikasinya yang simpel banget, pilih tujuan, terus klik pesan, semuanya bisa beres dalam hitungan detik. Bahkan buat orang yang nggak terlalu paham teknologi pun, rasanya gampang banget buat mesen. Yang bikin saya betah pakai GrabCar itu salah satunya ketepatan waktunya. Pokoke Grab Amazing Woww..",5
"kalau buat aplikasi yang benar. gua udah mencoba hubungin customer service di ai disuruh kasih informasi dalam 1 pesan udah gua kasih masih di balas ai kalian. sebelumnya gua ngehubungin cs kalian bisa kenapa ini gak bisa. padahal masalah gua gak ada di pusat bantuan kalian, masalah gua tuh karena gua mau ngebatalin paket unli sebelumnya terus perbarui yang jangka panjangnya 1 bulan. tapi pas gua tekan logo grab unlimited nya gak bisa kebuka sama sekali. tolong buat fitur hubungin cs lah tolol",1
"saya kecewa ketika jam segini, suka lama diterima orderanya sama akang2 grabnya, mungkin sudah tidur tapi apl nya aktif.. tolong dong waktunya dibatas misalkan 5meit gaada yang ngambil orderanya mohon di batalkan otomatis kalo belum mau ngasih fitur pembatalan sama pelanggan..",1
"pertama, terkait maps yg titiknya atau alamatnya tidak lengkap... kedua, terkait spam ke email... ketiga, akibat dari kedua membuat tidak ingin memiliki akun grab proses penghapusan akun yang sangat lama sekali, pelayanan sangat buruk. permintaan penghapusan akun belum diselesaikan, akan tetapi malah kirim email spam",1
"grabfood dari dulu payah terus ya? ga ada upgrade nya sama sekali, suka eror kalo pesen makanan perna 2 jam ga selesai², sampai sekarang blum ada yang berubah malah makin jelekkk, lama² blacklist aja apk nya kalo gini terus",1
"untuk pengiriman hemat, lama banget di hitung hitung hampir 1 jam kadang terlambat beberapa menit,, padahal lokasi resto tidak sampai puluhan kilo meter,, kalau di batalin malah gak bisa,, Ko Cak yaah...",1
sangat menyenangkan pake apk grab skarang tp suka kecewa kalau pesen makanan dri grabfood. sering telat pengantarannya. bukan sekali 2x sih tp tiap mesen makan dan tidak ada keterangan kendala nya apa sampe sering telat. 😭. soalnya aku cuma pake grabfood buat pesen makan .,5
"saya sering sekali memesan grabfood tapi tidak ada yang mau ambil pesanan sampai berjam jam, untuk grab lebih baik kalo pesanan belum ada yg ambil di setengah jam awal langsung batalkan. pembatalan otomatis terlalu lama soalnya ini merugikan saya sebagai konsumen.",2
"Tolong cek untuk pesanan akun ini, hari ini 3.10 pagi driver tersedia tapi tidak mau jalan menjemput penumpang, malah nawar di aplikasi berapa minta berapa. Di bantu grab, kan sudah ketentuan aplikasi, kok alasanya jauh, dari pihak grab lah benahi. Terimakasih",3
"jam 22.56 ujan baru reda akhirnya dapat driver. diperjalanan driver mau isi bensin, aplikasinya langsung kirim notip nanya keadaan apakah aku baik-baik aja, dan minta keterangan kenapa berhenti mendadak. Fitur ini jangan sampek dihapus sih menurut aku..",5
"aplikasi kocak. ada voucher bisa di pakai tapi di detail tulisannya tidak bisa dipakai, di baca ketentuannya juga masuk semua padahal. user dibuat membayangkan apa yang bikin gak bisa padahal dibaca ga ada lewat syaratnya. aneh. aneh. super aneh. contoh tuh ijo sebelah, UI UX nya clean, user jelas dikasih tau apa kendalanya, apa yang bikin gak bisa dll.",1
"Pesen Grabfood estimasi waktunya mundur terus sampai lebih dari 1 jam. keterangannya penjual sedang membuat pesanan dan sudah ada driver. Driver tidak membalas chat. Setelah klik dibatalkan, tertulis tempat makannya tutup. LALU DARI TADI KENAPA PENJUAL MEMBUAT PESANAN DAN SUDAH ADA DRIVER JUGA? Aplikasinya tidak terconect dengan baik kah? sangat kecewa sihh, menunggu 1 jam lebih dalam keadaan lapar.",1
"mohon untuk lokasinya dibenerin, soalnya saya sdh pesan beberapa kali malah bukan lokasi titiknya. padahal udah benar jalannya malah loncat ke sebelah titik benarnya",3
"hapus program double order sangat merugikan saya sebagai pemakai apk grab, orderan datangnya telat, hampir 40menit! pesanan baru sampai. Tidak ada pengembalian dana, saya order icecream apa bisa dimakan kalo telat sampe selama itu?",1
"hari ini dpt pengalaman yg kurang menguntungkan, pesan grabcar dengan pembayaran via Qris, tapi si driver bilang bahwa pembayaran tidak masuk ke akunnya, padahal jelas saldo di m banking saya berkurang dan sdh ada notif dari m banking bahwa pembayaran via Qris telah berhasil, driver tetap saja bilang tdk ada pembayaran yg masuk, dan alhasil si driver meminta saya untuk transfer ke rekening pribadinya sesuai harga yg sudah saya bayar via Qris, jadi uang saya 2x lipat hilang hari ini sebesar 226rb",2
"diskon grab car, lebih murah dari yang motor, diskon yang mobil 7,500 sedangkan yang motor 10.00 saya sebagai mahasiswa sudah pasti lebih milih yang murah, tapi setiap saya order driver yang diskon selalu di cancel, dan pasti lamaa nunggu, kadang ada yang sengaja di lama""in untuk penjemputan saya, tapi keterangan di apk, driver sampe lokasi, padahal belum sampai"" saya cek di map jg belum sampe, alhasil saya di suruh bayar lebih, karna apk mengira saya yang telah menyuruh driver nunggu,",1
setelah pesen grabfood lalu ubah alamat ternyata buat promo nya hilang ya? padahal titik alamat nya hanya beda beberapa langkah. harusnya diberi peringatan terlebih dahulu. kaget tadi tbtb gabisa pake promo lagi mana harga lumayan.,2
"gw ada sedikit problematika pada apk ini, yg pertama.. ambil contoh gagal ""beli token listrik dan salah pake kupon promo"" harus menunggu proses nya selesai dulu, maka lama pula, dan kupon promo nggk bisa di pakai sampai proses nya selesai, dan lagi ada apa ini..? diskon kilat? omong kosong..! kalau nggk bisa di pakai buat apa ditampilkan..? buat apa? percuma kalo enggk bisa di pake, gw ngeluh disini, karena diapk nggk tempat lagi buat ngeluh... tolong dibaca pihak grab komenan gw",2
"buruk... pernyataan dari kebijakan grab tertulis, ""jika tidak mendapatkan driver dari pesanan grabfood selama 15 menit, maka pesanan bisa di batalkan""... nyatanya apa..tetep juga customer harus nunggu lama dan gak bisa di batalkan.. padahal dah lapar banget... jadi tolong ya admin, pikirkan juga perut customer.. masa iya mau makan harus menunggu begitu lama.. tidak sesuai dengan kebijakan waktu yg di tentukan.. bobrok..",1
"Sekarang pengemudi bisa langsung tambahin biaya tanpa konfirmasi ke customer, padahal ke rumah saya ga perlu biaya parkir atau apa pun. kalau mau fair silahkan lampirkan nota, atau maksimal parkir 5 ribu. Mau komplain ke driver, resiko ribut dan di datengin ke rumah.. yg tadinya mau ngasi tip malah jadi emosi .. better balik pakai si burung biru saja 😉",1
"driver grab food, yang tidak ramah dan kurang sopan, sewaktu saya telepon nomornya di luar jangkauan, tapi tidak mengaku. dengan alasan bilang 'nomor nya tidak pernah ga aktif' seolah saya berbohong, dan dia mengatakan kata-kata yang tidak pantas di ucapkan, tolong di training lagi para driver yang kaya begini.",1
"Waktu penjemputan pada umumnya bagus. Driver pada umunnya bagus, memang ada beberapa yg kurang nyaman mengemudi, membuat mual. Cukup banyak mobil yang kurang terawat dan AC nya kurang berfungsi dengan baik.",4
"sudah beberapa minggu susah mendapatkan pengemudi grab pesan makanan, padahal sebelumnya mudah walau kadang ada terlambat tapi ada yg terhubung, ini sudah mencoba menunggu sampainbatas ahir pesanan, tidak ada yang terhubung",1
"Mohon maaf sebeluknya tapi makin hari penggunaan aplikasi grabfood makin memburuk, baru saja hari ini memesan makanan, dan berakhir dengan pembatalan dikarenakan sangat amat lama dari jam 7 dan sampai jam setengah 10 malampun belum juga di antarkan, driver pun di chat tidak merespon sama sekali. Pengalman yang sangat amat tidak menyenangkan",2
"Pesan layanan GF bayar pakai debit, 2jam berlalu belum juga dapat driver kemudian pesanan saya cancel dana belum di kembalikan tapi status di aplikasi dana sudah di kembalikan. komplen ke layanan alhasil responnya juga gak memuaskan.",1
setelah sekian lama berlangganan aplikasi ini agak sedikit kecewa dengan layanan Grab Bojonegoro yang meminta bayaran tunai melebihi tarif yang di aplikasi dengan alasan aplikasi sedang error ulah oknum yang mengambil keuntungan pribadi akhirnya langsung cancel daripada ribet... 😑,3
aplikasi gak jelas..harga bisa naik tiba tiba tidak sesuai dengan harga awal. aplikasi penipu awal order 18 rb.begitu sampe lokasi tau tau harganya 56 rb..dengan jarak yg cuma 1 km..harap berhati hati order pake aplikasi ini..menjebak custemer,1
"iklan yang perlihatkan wajah mas adam tolong diganti, mohon yang kreatif bikin iklannya. bukanya tertarik untuk pakai grab malah bikin jengkel lihat iklan seperti itu yang tidak kreatif sama sekali .",1
"Akun saya di bekuin? Kenapa? Padahal gapernah macem macem tuh, pake grab nya aja baru sekali buat grabfood doang, sempet uninstall sih, trus pas instal lagi mau masuk akun malah akun di bekukan? Udah ngajuin naik banding tp akun jadi di nonaktifkan? Bisa kasih tau spesifik pelanggaran apa yg saya lakuin?",1
"gajelas, tbtb tempat tujuan berubah. yang tadinya cuma bayar 9k malah harus jadi bayar 30k, mana gabisa diubah lagi tujuan tempatnya. kenapa cuma bisa ubah tujuan tempat sekali? emang ga kepikiran kalo orang bisa aja ga sengaja ubah tempat tujuannya karena kepencet atau hp nya eror? tolong dong ini gimana, masa hal kayak gitu ga kepikiran sih. jadinya merugikan penumpang dan pengemudi. apalagi penumpang yg tadinya cuma bayar berapa malah harus bayar lebih dari 2 kali lipat dari harga asli, gjls.",1
"aplikasi banyak bug, akun gua tiba tiba kena ban, padahal gaa ngapa ngapain, trus dituduh melakukan aktivitas yang tidak wajar, padahal keslahannya dari sistemnya seendiri, malah customer yang harus nanggung akibatnya, sekalinya pake fitur customer service baru di tanggepin 3 harian, lele amat, kecewa pake grab, saran: benerin dulu sistemnya jangan nuduh nuduh yg ngga ngga ke customer",1
parah banget grab. Masa nunggu pesanan lama banget. alesan cari pengemudi terus. parah sih ini dari jam 6 saya pesan terus saya cancel karena pikir kasian pedagangnya udah bikin makanan. order lagi ke tempat itu sama jugaaa lamaaaa. malah notif terlambat pula.,2
